Date,Product,Min Price,Max Price,Avg Price
2024-09-10 00:00:00,Kole,13699,23269,17834
2024-09-10 00:00:00,Chali,31508,36299,34694
2024-09-10 00:00:00,Pepper,60689,63609,62782
2024-09-10 00:00:00,Chali,31509,34699,33187
2024-09-09 00:00:00,Bette,20519,39096,26438
2024-09-09 00:00:00,Kole,17699,18299,17999
2024-09-09 00:00:00,Pepper,61539,61539,64539
2024-09-06 00:00:00,Bette,25009,39208,29576
2024-09-06 00:00:00,Kole,12211,22669,16997
2024-09-06 00:00:00,Old Ch,35039,36218,35629
2024-09-06 00:00:00,Pepper,51213,51213,51213
2024-09-05 00:00:00,Kole,11899,18999,15534
2024-09-05 00:00:00,Pepper,52508,62999,56172
2024-09-05 00:00:00,Chali,29096,34799,31975
